id;name;web_site;description
1;Dollar;Ameliorated;encoding Sports
2;wireless magenta Generic;Toys Grocery;tan c program
3;Intelligent firewall;channels;la global
4;bus a Baby;generation;Optimized
5;monitor;a;withdrawal state optical
6;quantify;Buckinghamshire Innovative Credit;integrate Buckinghamshire Metal
7;redefine extensible interactive;Cambridgeshire multi-byte Health;yellow Specialiste
8;Berkshire;de Account eco-centric;applications
9;backing;web-enabled;b fuchsia optical
10;Faubourg-Saint-Denis Pizza;Centre IB Enterprise-wide;monetize systems
